Ticker;Quarter;Revenue;Gross Profit;Operating Income;Basic Average Shares;Operating Cashflow;Total Debt;Current Assets;Current Liabilities;PE;PEG;Price on Report Date;Market Cap;Growth
ESTC;30.04.2026 00:00;450681000;339621000;-16411000;104256173;152710000;591563000;2023263000;1204921000;24,94282;1,37;46,43000031;4840614145;18,20643796
ETN;30.06.2026 00:00;8531000000;2855000000;1392000000;388500000;1127000000;21326000000;14772000000;11909000000;40,95687;2,37;426,1199951;1,66E+11;17,28137975
ETSY;30.06.2026 00:00;668313000;484045000;125268000;94358000;40555000;3075807000;1875274000;1270311000;25,447948;0,89;75,33000183;7107988313;28,5932
FORM;30.06.2026 00:00;258242000;130922000;62658000;78036000;61803000;29912000;669509000;164165000;69,75862;1,39;159,9299927;12480296910;50,18605755
FTNT;30.06.2026 00:00;2047900000;1643200000;689300000;733100000;1043600000;496900000;6208300000;4840800000;55,9046;1,78;153,6199951;1,13E+11;31,40707865
GE;30.06.2026 00:00;13348000000;4151000000;2560000000;1040000000;3195000000;19157000000;39696000000;40428000000;38,994167;4,23;373,730011;3,89E+11;9,218479196
GEN;30.06.2026 00:00;1336000000;1029000000;475000000;599000000;434000000;8176000000;1268000000;2722000000;17,94152;1,51;24,88999939;14909109635;11,88180132
GFS;30.06.2026 00:00;1786000000;505000000;174000000;549000000;405000000;1678000000;5468000000;2209000000;35,25;0,66;82,41000366;45243092009;53,40909091
GLW;30.06.2026 00:00;4505000000;1628000000;698000000;862000000;1717000000;9379000000;10917000000;6021000000;68,07727;0,87;255,4299927;2,20E+11;78,24973563
GOOG;30.06.2026 00:00;1,20E+11;73853000000;40770000000;12151000000;39069000000;1,13E+11;3,44E+11;1,26E+11;16,570406;1,23;353,3299866;4,29E+12;13,4718748
GPN;30.06.2026 00:00;3320791000;2026912000;337121000;259420000;662619000;23555090000;11669831000;14153798000;43,502373;0,22;72,55999756;18823514567;197,7380591
GRMN;30.06.2026 00:00;2022092000;1262022000;615508000;192836000;403556000;177957000;6308612000;2083173000;28,503094;2,93;237,5399933;45806262148;9,72801843
HON;30.06.2026 00:00;9719000000;3653000000;1785000000;317100000;1276000000;33988000000;28079000000;23194000000;7,9599237;3,39;223,8999939;70998688066;2,348060088
HPE;30.04.2026 00:00;10678000000;3900000000;825000000;1335000000;1410000000;21246000000;29359000000;26975000000;48,178658;0,85;28,77000046;38407950614;56,68077412
HPQ;30.04.2026 00:00;14408000000;3016000000;981000000;922000000;926000000;10864000000;23984000000;30206000000;12,209924;3,21;20,86000061;19232920562;3,803714642
HUBS;30.06.2026 00:00;911740000;750861000;44395000;50569000;222755000;236914000;2127494000;1543646000;89,256226;0,31;182,5099945;9229347912;287,9233097
IBM;30.06.2026 00:00;17162000000;9907000000;2845000000;941192024;2597000000;65272000000;28398000000;35912000000;20,47546;2,19;281,2099915;2,65E+11;9,349525114
IFX.DE;30.06.2026 00:00;4172000000;1703000000;594000000;1304000000;1114000000;7241000000;10289000000;5954000000;70,14634;0,49;81,66999817;1,06E+11;143,1557959
INTU;30.04.2026 00:00;8558000000;7184000000;4020000000;276000000;5300000000;6900000000;17837000000;12276000000;20,227163;1,09;388,5;1,07E+11;18,55703028
JBL;31.05.2026 00:00;8751000000;828000000;456000000;105300000;535000000;3892000000;18158000000;18511000000;38,867794;0,82;359,9700012;37904841126;47,39974878
JD;31.03.2026 00:00;3,16E+11;53027000000;3807000000;1370000000;555000000;1,08E+11;3,65E+11;3,09E+11;18,832214;0,51;29,56999969;40510899575;36,9259098
KEYS;30.04.2026 00:00;1717000000;1178000000;407000000;171000000;501000000;2759000000;5042000000;2649000000;44,346416;0,63;349,9100037;59834610633;70,39113651
KLAC;30.06.2026 00:00;3657556000;2244448000;1553948000;1306517000;906430000;6151713000;12381790000;4304927000;50,152588;1,63;301,7099915;3,94E+11;30,7684589
LOGI;30.06.2026 00:00;1227234000;607940000;259121000;143495000;166708000;84388000;3121243000;1350464000;18,7578;1,8;94,04000092;13494269932;10,421
LRCX;30.06.2026 00:00;6722238000;3478740000;2513488000;1251286000;1457228000;3734563000;15610705000;5937249000;52,1359;1,35;433,3299866;5,42E+11;38,61918519
