model,features,signal_horizon,pnl_horizon,threshold,allow_short,Total Return,Annualized,Ann Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Days,Trades,Avg Hold (d),Med Hold (d),Max Hold (d),Avg Flat (d),Avg Exposure,Turnover/yr,Score
Tree,fin-only,1,1,0.0,False,0.4427353608715736,0.04973552837546369,0.13059108877631218,0.4377344116767281,0.5159265455587547,-0.3894377259825934,0.27342047930283225,1903,918,1.0,1.0,1,1.0718171926006528,0.48239621650026276,243.12769311613243,0.38334848866842297
Tree,fin-only,1,2,0.0,False,0.8744038950270736,0.08675894043745758,0.14699799075964276,0.6397208243228629,0.7857500514592392,-0.2448432956944403,0.3735070575461455,1903,615,2.0,2.0,2,1.0943089430894308,0.6463478717813977,162.74724119810824,1.2042355195671564
Tree,fin-only,1,3,0.0,False,0.4555963670368268,0.05096993024927454,0.16160793250851296,0.38873352422496915,0.4655712241347699,-0.3274238664594086,0.4069264069264069,1903,463,2.997840172786177,3.0,3,1.1123110151187905,0.7293746715712034,122.49080399369417,0.46919944054800133
Tree,fin-only,1,4,0.0,False,1.5839812963546844,0.1339564737733232,0.15828828643467735,0.8734675225553873,1.0964361615538358,-0.28504757386693413,0.44570502431118314,1903,371,3.9946091644204853,4.0,4,1.1347708894878705,0.7787703625853915,98.12506568575932,1.8737871923798122
Tree,fin-only,1,5,0.0,False,1.2084969304369517,0.11062170153943884,0.17175166845623077,0.6969244405515158,0.8597486175705576,-0.3044104099089733,0.45806451612903226,1903,311,4.990353697749196,5.0,5,1.1286173633440515,0.815554387808723,82.23436678928009,1.3386702677651363
Tree,fin-only,1,6,0.0,False,1.8013413134681744,0.1461496430589999,0.17401543145655926,0.8714223533848543,1.0364240636191187,-0.31815093712028464,0.47495961227786754,1903,266,5.988721804511278,6.0,6,1.1654135338345866,0.837099316868103,70.31634261692065,1.9091953536249415
Tree,fin-only,1,7,0.0,False,2.0209518123974024,0.15766215926959126,0.17853171140808494,0.9097684863061587,1.0900742367111662,-0.2681690857721052,0.4897959183673469,1903,233,6.9957081545064375,7.0,7,1.1716738197424892,0.8565423016290068,61.57645822385707,2.5411763968928356
Tree,fin-only,1,8,0.0,False,1.4769008512278017,0.12761893755734577,0.17955730619745855,0.759024505990635,0.9180199742141611,-0.2544914542894571,0.49358288770053477,1903,208,8.0,8.0,8,1.1490384615384615,0.8744088281660536,54.955333683657386,1.9568867977294828
Tree,fin-only,1,9,0.0,False,1.7306297584517365,0.14227588704108451,0.17578377072757578,0.8448642276904584,1.0515104373402446,-0.23276002756293768,0.4983991462113127,1903,188,8.98404255319149,9.0,9,1.1382978723404256,0.8875459800315292,49.658434051497636,2.5071674061051152
Tree,fin-only,1,10,0.0,False,1.4857826184276575,0.12815355154032892,0.17411555558143096,0.7800982831257841,0.9335058259548688,-0.2775556049819784,0.5042918454935622,1903,170,9.98235294117647,10.0,10,1.2117647058823529,0.8917498686284814,44.891224382553865,1.8050649669508072
Tree,fin-only,1,11,0.0,False,1.6250937609324283,0.13632928962505764,0.1783733842979764,0.8059186448368499,0.9895971535342404,-0.2516980099872408,0.5056421278882322,1903,156,10.942307692307692,11.0,11,1.2564102564102564,0.8970047293746716,41.18339464004204,2.1771392479987957
Tree,fin-only,1,12,0.0,False,2.100307351662856,0.1616439663298601,0.1816584271988466,0.9161731641398738,1.0905363885526205,-0.2961295004885195,0.5181430096051227,1903,145,11.944827586206896,12.0,12,1.1793103448275861,0.9101418812401472,38.27009984235418,2.391601099560737
Tree,fin-only,1,13,0.0,False,0.7678071183514867,0.07836539523991415,0.17810281802090377,0.5132520598739019,0.5969613085328707,-0.36717983364507745,0.5101822079314041,1903,134,12.947761194029852,13.0,13,1.2537313432835822,0.9117183394640042,35.35680504466632,0.7051165030985419
Tree,fin-only,1,14,0.0,False,0.8604456477353233,0.08568378847399716,0.176775385813392,0.5542018053003813,0.6421182897693918,-0.3831730441628839,0.5133689839572193,1903,125,13.984,14.0,14,1.24,0.9185496584340515,32.97320021019443,0.7572095084356033
Tree,fin-only,1,15,0.0,False,2.3751220362343246,0.17478233874171512,0.18577062122676383,0.9604304322898739,1.170406157775797,-0.28017708365784,0.5231506120276743,1903,118,14.94915254237288,15.0,15,1.1779661016949152,0.9269574356279559,31.119285338938518,2.858517692318779
Tree,fin-only,1,16,0.0,False,1.5873903174978397,0.13415446687325994,0.18809074571425377,0.7637326099342154,0.9229377803012035,-0.36365372998170575,0.5216931216931217,1903,112,15.892857142857142,16.0,16,1.0982142857142858,0.9353652128218602,29.530215449290594,1.4719167464257803
Tree,fin-only,1,17,0.0,False,2.4119512079694303,0.1764719039139282,0.18767534543685283,0.9602381376275824,1.1804530828023199,-0.28584915783718556,0.5272054939249868,1903,106,16.88679245283019,17.0,17,1.0660377358490567,0.9406200735680504,27.94114555964267,2.8452417123808296
Tree,fin-only,1,18,0.0,False,2.019296132740754,0.15757812055924791,0.18909280971092932,0.8688268016137671,1.0571147146502033,-0.2991102291918436,0.5277630883130618,1903,100,17.94,18.0,18,1.09,0.9427220178665265,26.352075669994747,2.276440554373223
Tree,fin-only,1,19,0.0,False,2.020447885806563,0.15763658527931468,0.18465767269626263,0.8852120703911319,1.1249678279874173,-0.2952030340377847,0.5238853503184714,1903,95,18.86315789473684,19.0,19,1.168421052631579,0.9416710457172885,25.02785076195481,2.307886263143116
Tree,fin-only,1,20,0.0,False,1.8464193304232572,0.14857507966462635,0.18686565695213128,0.8352239621775204,1.0013534724259756,-0.3029440136967396,0.5278810408921933,1903,90,19.955555555555556,20.0,20,1.1888888888888889,0.9437729900157645,23.703625853914872,2.0552068041258114
Tree,fin-only,1,1,0.0,True,0.9198035521109225,0.0902085151364207,0.12951706874710536,0.7316107164798169,0.9950755498450575,-0.22313500398727537,0.27287066246056785,1903,951,1.0,1.0,1,1.0,0.4997372569626905,251.86757750919602,1.3900004581508434
Tree,fin-only,1,2,0.0,True,1.499698331012298,0.12898784726126178,0.1621012004582262,0.8295869147847951,1.0588570129101076,-0.23888877839080525,0.37716991057338245,1903,634,2.0,2.0,2,1.0,0.6663163426169206,167.91171833946402,2.1168774884438486
Tree,fin-only,1,3,0.0,True,0.9873311016133672,0.09521072161791655,0.16360149039507513,0.6381747486515608,0.7869080089198468,-0.3587495040775508,0.41009463722397477,1903,476,2.9978991596638656,3.0,3,1.0,0.7498686284813453,125.93378875459801,0.928023714820407
Tree,fin-only,1,4,0.0,True,1.3695938374664327,0.12102488311281201,0.1759546309810514,0.7375220210566213,0.9283988774402955,-0.19296774169360575,0.43608627038400843,1903,381,3.994750656167979,4.0,4,1.0,0.7997898055701524,100.7735155018392,2.3932862453610007
Tree,fin-only,1,5,0.0,True,2.637920565065232,0.18650501802057562,0.17775130675376077,1.0517212321762168,1.2730172632729133,-0.24232703690328106,0.4689473684210526,1903,317,5.0,5.0,5,1.0,0.8328954282711508,83.95585916973201,3.6706874557089613
Tree,fin-only,1,6,0.0,True,0.5182228025099695,0.05684890043526125,0.17748734973534694,0.40107410281037714,0.4594282559516783,-0.4805649358534736,0.4705263157894737,1903,272,5.9963235294117645,6.0,6,1.0,0.8570677877036259,71.90541250656858,0.36362355213456976
Tree,fin-only,1,7,0.0,True,1.0499757260903788,0.09972105951988608,0.18144407130873655,0.6151523707829676,0.7419616396529962,-0.2681690857721052,0.47869542346133614,1903,238,6.995798319327731,7.0,7,1.0,0.8749343142406726,62.900683131897004,1.3202558893703178
Tree,fin-only,1,8,0.0,True,1.1264617828624628,0.10506858552712961,0.18370212010633472,0.6360083452902011,0.7728913177421929,-0.2632999130880941,0.48921620199894794,1903,212,7.976415094339623,8.0,8,1.0,0.8885969521807672,56.01471361008933,1.4426245292915678
Tree,fin-only,1,9,0.0,True,1.6059094363243869,0.13522610417271008,0.18329398682575587,0.7838345865855771,0.976120461661611,-0.2699301788626993,0.4978947368421053,1903,191,8.963350785340314,9.0,9,1.0,0.8996321597477667,50.4529689963216,2.0061212281270153
Tree,fin-only,1,10,0.0,True,1.0169555234725904,0.09735878768447215,0.18156140259211553,0.6029137406173497,0.7371909832070516,-0.3731672429055889,0.4934245134139926,1903,173,10.0,10.0,10,1.0,0.9090909090909091,45.68575932737782,0.9189375783493284
Tree,fin-only,1,11,0.0,True,1.9059969143903244,0.15173004825749659,0.18458843869815988,0.8582388553467342,1.036474114698121,-0.2455617540460482,0.5110526315789473,1903,159,10.968553459119496,11.0,11,1.0,0.9164477141355754,41.977929584866004,2.6172730441235434
Tree,fin-only,1,12,0.0,True,2.0587374858887015,0.15956929869528103,0.18640357157456255,0.8879675510148259,1.0613425863746297,-0.2961295004885195,0.5192004208311415,1903,147,11.945578231292517,12.0,12,1.0,0.9227535470310037,38.79978980557015,2.344265867117091
Tree,fin-only,1,13,0.0,True,0.9261343892931633,0.09068391084212335,0.18649994713423892,0.559339888020789,0.6541818133468081,-0.47429071829991554,0.5126315789473684,1903,136,12.992647058823529,13.0,13,1.0,0.928533893851813,35.88649500788229,0.6584411290801983
Tree,fin-only,1,14,0.0,True,1.3576659762273207,0.1202759967439504,0.1870692288358839,0.7008416393285581,0.8777737599720913,-0.29223182457523866,0.511578947368421,1903,127,13.984251968503937,14.0,14,1.0,0.9332632685233841,33.50289017341041,1.5665814900525492
Tree,fin-only,1,15,0.0,True,0.3656598331860583,0.04213119391289388,0.18935081751751068,0.3128734660044867,0.38213491550950845,-0.34642621466533485,0.5047368421052632,1903,119,14.991596638655462,15.0,15,1.0,0.9374671571203363,31.384130320546507,0.35592137814816743
Tree,fin-only,1,16,0.0,True,1.4236653891508664,0.12437926333343197,0.18875790793088845,0.7157921268583358,0.8713629523342504,-0.30493491003853146,0.5221052631578947,1903,112,15.991071428571429,16.0,16,1.0,0.9411455596426694,29.530215449290594,1.5743030837663419
