,Total Return,Annualized,Ann Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Days
"Tree (fin-only, sig=5d, pnl=1d)",-0.1411736488330283,-0.019951466123687478,0.11242012912713191,-0.1223110111820534,-0.058690175919328555,-0.31489580560999264,0.5174603174603175,1903.0
"Tree (fin+weather, sig=5d, pnl=1d)",-0.1411736488330283,-0.019951466123687478,0.11242012912713191,-0.1223110111820534,-0.058690175919328555,-0.31489580560999264,0.5174603174603175,1903.0
"MLP (fin-only, sig=5d, pnl=1d)",0.7229093366797013,0.07469804473001629,0.1292859914846806,0.6220607665121936,0.47703921333144406,-0.26835907313564555,0.5347593582887701,1903.0
"MLP (fin+weather, sig=5d, pnl=1d)",0.015463985274341674,0.0020341735234634672,0.07513186074909221,0.06498529115848178,0.032021584074935126,-0.2580747208823114,0.5663265306122449,1903.0
Buy & Hold,2.259341225148533,0.16946076423766132,0.19392221570070844,0.9046846723038584,1.1086893632760388,-0.3371725123575524,0.5563157894736842,1902.0
